split,case,eligible_fibers,samples,reference_mean_deg,selected_mean_deg,retained_coverage,retained_mean_deg,retained_over_30
develop,s1_00497_01497_03997_256,52,1162,41.65337135441095,33.1845759248393,0.03868062922078759,8.763695751583604,0.039773436199293896
develop,s1_00497_02497_02997_256,73,1433,37.074322138650864,28.906760683116307,0.10348613483847954,9.004051775658544,0.051209786689829326
develop,s1_00997_02497_02997_256,81,1522,33.50134086256316,26.23955129815963,0.18003922769627334,9.245169813779363,0.0424340670483927
develop,s1_08997_02997_02497_256,72,1291,37.209436411363136,30.834486649612526,0.10471995578808947,10.374471784010277,0.05930103424323563
develop,s1_10997_02997_02997_256,49,943,30.452799472251396,22.17682987268805,0.1940289604961561,6.238514673623291,0.012473389758835636
evaluate,s5_03997_01497_03997_256,30,599,33.94386927013007,26.706624381363117,0.04245521825981596,16.621757073426636,0.14450945077152696
evaluate,s5_06494_01994_03994_512,354,17383,34.68245713917183,26.205588045169133,0.03210341373678906,7.603848306946892,0.028307480416105847
evaluate,s5_06994_00994_04994_512,518,24070,41.53175014020094,30.857035986372885,0.010273526441719874,10.968956296209122,0.06432511360568373
evaluate,s5_07994_01994_05494_512,424,18239,37.4306640042312,28.79694522845684,0.029004226826443675,8.493317793861252,0.02060745273995372
evaluate,s5_07997_02997_05497_256,47,866,32.857193531973756,24.142878644731518,0.042628053585500376,6.321654449498951,0.0
evaluate,s5_14997_01497_01497_256,83,1541,38.57517459359514,31.638169261060323,0.007664250860565532,4.435045145914984,0.0
